campaign_id,brand,category,subcategory,sku_id,product_name,campaign_type,start_date,end_date,duration_days,base_price,final_price,discount_rate,stock_quantity,traffic,click_through_rate,conversion_rate,orders,gmv,sell_through_rate,refund_rate,overpriced_flag,weak_listing_flag
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Swimwear,NPA-0013,NorthPeak Athletics Breathable Swimwear,New Arrival Launch,2024-12-28,2025-01-01,4,820.0,710.7,0.133,187,181,0.2072,0.0362,6,4264.0,0.0321,0.108,False,True
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,NPA-0058,NorthPeak Athletics Vintage Shell Jacket,New Arrival Launch,2024-12-28,2025-01-01,4,931.0,805.6,0.135,105,63,0.2661,0.0292,1,805.62,0.0095,0.0652,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0051,NorthPeak Athletics Urban Training Pants,New Arrival Launch,2024-12-28,2025-01-01,4,551.0,499.5,0.093,106,247,0.3419,0.0279,6,2997.14,0.0566,0.0565,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0088,NorthPeak Athletics New Season Hiking Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,873.0,835.7,0.043,185,176,0.2347,0.026,4,3342.9,0.0216,0.0946,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0034,NorthPeak Athletics GripPro Hiking Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,323.0,353.5,0.023,343,10,0.2785,0.0162,0,0.0,0.0,0.1127,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0077,NorthPeak Athletics Limited Yoga Set,New Arrival Launch,2024-12-28,2025-01-01,4,280.0,250.2,0.106,732,10,0.2906,0.0442,0,0.0,0.0,0.1112,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0016,NorthPeak Athletics Trail Ready Down Jacket,New Arrival Launch,2024-12-28,2025-01-01,4,615.0,642.8,0.067,62,541,0.3563,0.017,9,5785.11,0.1452,0.0831,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0067,NorthPeak Athletics Classic Down Jacket,New Arrival Launch,2024-12-28,2025-01-01,4,831.0,788.5,0.051,256,10,0.3594,0.0443,0,0.0,0.0,0.0642,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0071,NorthPeak Athletics Urban Yoga Set,New Arrival Launch,2024-12-28,2025-01-01,4,560.0,543.7,0.029,261,98,0.2894,0.0473,4,2174.76,0.0153,0.0398,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,NPA-0074,NorthPeak Athletics GripPro Outdoor Sandals,New Arrival Launch,2024-12-28,2025-01-01,4,622.0,594.6,0.044,428,333,0.3632,0.0507,16,9513.41,0.0374,0.089,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,NPA-0054,NorthPeak Athletics GripPro Outdoor Sandals,New Arrival Launch,2024-12-28,2025-01-01,4,692.0,628.3,0.092,67,65,0.1959,0.0337,2,1256.59,0.0299,0.1133,False,True
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0028,NorthPeak Athletics New Season Training Pants,New Arrival Launch,2024-12-28,2025-01-01,4,723.0,703.1,0.027,322,10,0.2815,0.0351,0,0.0,0.0,0.0841,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,NPA-0053,NorthPeak Athletics Breathable Outdoor Sandals,New Arrival Launch,2024-12-28,2025-01-01,4,1058.0,1003.5,0.051,361,10,0.2853,0.0427,0,0.0,0.0,0.0923,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0014,NorthPeak Athletics GripPro Sports Backpack,New Arrival Launch,2024-12-28,2025-01-01,4,865.0,759.9,0.121,228,437,0.2724,0.0364,15,11399.02,0.0658,0.0566,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Training Shoes,NPA-0060,NorthPeak Athletics Durable Training Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,1178.0,1093.4,0.072,122,188,0.3285,0.0325,6,6560.48,0.0492,0.0837,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0055,NorthPeak Athletics CushionFlex Down Jacket,New Arrival Launch,2024-12-28,2025-01-01,4,238.0,234.9,0.013,93,213,0.346,0.0332,7,1644.38,0.0753,0.0635,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0047,NorthPeak Athletics Classic Down Jacket,New Arrival Launch,2024-12-28,2025-01-01,4,672.0,618.8,0.079,278,10,0.2167,0.0308,0,0.0,0.0,0.0964,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0059,NorthPeak Athletics TechFeel Hiking Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,352.0,304.4,0.135,259,37,0.2486,0.0225,0,0.0,0.0,0.0835,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0076,NorthPeak Athletics Trail Ready Hiking Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,578.0,513.3,0.112,353,73,0.421,0.0339,2,1026.63,0.0057,0.1066,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0073,NorthPeak Athletics Breathable Sports Backpack,New Arrival Launch,2024-12-28,2025-01-01,4,282.0,269.0,0.046,126,1585,0.2095,0.0261,41,11029.85,0.3254,0.0717,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0081,NorthPeak Athletics AirLite Sports Backpack,New Arrival Launch,2024-12-28,2025-01-01,4,734.0,789.1,0.04,145,261,0.2974,0.0153,3,2367.39,0.0207,0.1261,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0045,NorthPeak Athletics CloudSoft Sports Backpack,New Arrival Launch,2024-12-28,2025-01-01,4,478.0,489.5,0.086,691,106,0.2207,0.0129,1,489.54,0.0014,0.1015,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0020,NorthPeak Athletics Durable Quick-Dry Tee,New Arrival Launch,2024-12-28,2025-01-01,4,735.0,706.8,0.141,223,20,0.345,0.0158,0,0.0,0.0,0.1533,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,NPA-0007,NorthPeak Athletics Classic Shell Jacket,New Arrival Launch,2024-12-28,2025-01-01,4,306.0,287.8,0.059,132,49,0.3391,0.0322,1,287.8,0.0076,0.0763,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0001,NorthPeak Athletics AirLite Quick-Dry Tee,New Arrival Launch,2024-12-28,2025-01-01,4,250.0,274.6,0.019,665,452,0.3277,0.0196,8,2196.48,0.012,0.1246,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0046,NorthPeak Athletics Featherweight Training Pants,New Arrival Launch,2024-12-28,2025-01-01,4,1197.0,1053.2,0.12,159,10,0.2697,0.0351,0,0.0,0.0,0.0865,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0025,NorthPeak Athletics CloudSoft Quick-Dry Tee,New Arrival Launch,2024-12-28,2025-01-01,4,533.0,572.8,0.041,201,296,0.2756,0.0157,4,2291.13,0.0199,0.1309,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0021,NorthPeak Athletics AirLite Down Jacket,New Arrival Launch,2024-12-28,2025-01-01,4,535.0,500.1,0.065,237,10,0.3012,0.0392,0,0.0,0.0,0.082,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0044,NorthPeak Athletics Minimal Down Jacket,New Arrival Launch,2024-12-28,2025-01-01,4,891.0,772.9,0.133,85,128,0.2983,0.0305,3,2318.65,0.0353,0.106,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0022,NorthPeak Athletics Breeze Sports Backpack,New Arrival Launch,2024-12-28,2025-01-01,4,967.0,963.2,0.004,303,10,0.1337,0.0148,0,0.0,0.0,0.0954,False,True
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0003,NorthPeak Athletics SunCore Training Pants,New Arrival Launch,2024-12-28,2025-01-01,4,583.0,512.2,0.121,424,131,0.4382,0.0514,6,3073.39,0.0142,0.0721,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0069,NorthPeak Athletics Everyday Hiking Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,1096.0,1056.5,0.036,381,1681,0.3415,0.0411,69,72901.1,0.1811,0.064,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0017,NorthPeak Athletics Limited Hiking Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,903.0,808.9,0.104,423,10,0.2594,0.0283,0,0.0,0.0,0.0585,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Swimwear,NPA-0063,NorthPeak Athletics SunCore Swimwear,New Arrival Launch,2024-12-28,2025-01-01,4,1009.0,905.3,0.103,128,117,0.3028,0.037,4,3621.28,0.0312,0.0645,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Training Shoes,NPA-0062,NorthPeak Athletics Breeze Training Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,1094.0,1093.4,0.001,395,1550,0.3509,0.0407,63,68884.3,0.1595,0.078,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0002,NorthPeak Athletics Breeze Sports Backpack,New Arrival Launch,2024-12-28,2025-01-01,4,996.0,861.0,0.136,118,180,0.3552,0.0419,7,6026.88,0.0593,0.0809,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0089,NorthPeak Athletics Everyday Yoga Set,New Arrival Launch,2024-12-28,2025-01-01,4,823.0,746.2,0.093,270,103,0.34,0.0303,3,2238.69,0.0111,0.0669,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0043,NorthPeak Athletics SunCore Training Pants,New Arrival Launch,2024-12-28,2025-01-01,4,539.0,504.0,0.065,233,340,0.2944,0.0348,11,5544.37,0.0472,0.0769,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Swimwear,NPA-0079,NorthPeak Athletics TechFeel Swimwear,New Arrival Launch,2024-12-28,2025-01-01,4,887.0,887.0,0.0,453,10,0.3012,0.0332,0,0.0,0.0,0.0767,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,NPA-0078,NorthPeak Athletics Vintage Outdoor Sandals,New Arrival Launch,2024-12-28,2025-01-01,4,957.0,946.8,0.011,472,312,0.3751,0.0352,10,9467.72,0.0212,0.0745,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Swimwear,NPA-0057,NorthPeak Athletics Limited Swimwear,New Arrival Launch,2024-12-28,2025-01-01,4,902.0,777.2,0.138,213,10,0.3013,0.0342,0,0.0,0.0,0.1022,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0085,NorthPeak Athletics CloudSoft Quick-Dry Tee,New Arrival Launch,2024-12-28,2025-01-01,4,667.0,624.2,0.064,226,53,0.2348,0.0349,1,624.16,0.0044,0.0831,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,NPA-0083,NorthPeak Athletics SunCore Outdoor Sandals,New Arrival Launch,2024-12-28,2025-01-01,4,962.0,948.2,0.014,52,609,0.2935,0.0303,18,17067.52,0.3462,0.1119,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0008,NorthPeak Athletics New Season Training Pants,New Arrival Launch,2024-12-28,2025-01-01,4,464.0,454.4,0.126,536,1283,0.3118,0.0123,15,6816.63,0.028,0.0998,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0038,NorthPeak Athletics Vintage Yoga Set,New Arrival Launch,2024-12-28,2025-01-01,4,1236.0,1118.8,0.095,327,20,0.3431,0.0451,0,0.0,0.0,0.0428,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0080,NorthPeak Athletics Durable Quick-Dry Tee,New Arrival Launch,2024-12-28,2025-01-01,4,724.0,626.5,0.135,500,372,0.1633,0.031,11,6891.6,0.022,0.1119,False,True
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0039,NorthPeak Athletics TechFeel Hiking Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,783.0,753.3,0.038,220,680,0.3402,0.0377,25,18832.61,0.1136,0.0766,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0066,NorthPeak Athletics Featherweight Yoga Set,New Arrival Launch,2024-12-28,2025-01-01,4,204.0,174.6,0.144,633,118,0.2705,0.0409,4,698.58,0.0063,0.0498,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0004,NorthPeak Athletics Minimal Quick-Dry Tee,New Arrival Launch,2024-12-28,2025-01-01,4,547.0,536.2,0.02,92,74,0.3465,0.0404,2,1072.37,0.0217,0.0817,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0084,NorthPeak Athletics Minimal Quick-Dry Tee,New Arrival Launch,2024-12-28,2025-01-01,4,968.0,951.7,0.017,101,297,0.2562,0.0356,10,9517.42,0.099,0.0675,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0035,NorthPeak Athletics CushionFlex Down Jacket,New Arrival Launch,2024-12-28,2025-01-01,4,541.0,541.1,0.107,479,393,0.265,0.0125,4,2164.48,0.0084,0.0998,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0011,NorthPeak Athletics Urban Training Pants,New Arrival Launch,2024-12-28,2025-01-01,4,434.0,397.5,0.084,239,493,0.3104,0.0394,19,7552.42,0.0795,0.0779,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0061,NorthPeak Athletics AirLite Quick-Dry Tee,New Arrival Launch,2024-12-28,2025-01-01,4,931.0,901.7,0.135,269,131,0.3678,0.0186,2,1803.41,0.0074,0.0771,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0005,NorthPeak Athletics CloudSoft Quick-Dry Tee,New Arrival Launch,2024-12-28,2025-01-01,4,362.0,369.6,0.088,577,508,0.3364,0.0154,7,2587.25,0.0121,0.1003,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0009,NorthPeak Athletics Everyday Yoga Set,New Arrival Launch,2024-12-28,2025-01-01,4,810.0,782.0,0.035,172,2967,0.1623,0.0184,54,42226.81,0.314,0.096,False,True
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0081,NorthPeak Athletics AirLite Sports Backpack,Clearance Event,2025-01-09,2025-01-16,7,734.0,396.7,0.517,476,524,0.3098,0.031,16,6347.92,0.0336,0.1117,True,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0089,NorthPeak Athletics Everyday Yoga Set,Clearance Event,2025-01-09,2025-01-16,7,823.0,490.9,0.404,141,160,0.2609,0.0603,9,4418.12,0.0638,0.0833,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0047,NorthPeak Athletics Classic Down Jacket,Clearance Event,2025-01-09,2025-01-16,7,672.0,293.7,0.563,497,3202,0.3287,0.0822,263,77237.49,0.5292,0.0804,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0003,NorthPeak Athletics SunCore Training Pants,Clearance Event,2025-01-09,2025-01-16,7,583.0,328.1,0.437,492,317,0.3401,0.1018,32,10500.59,0.065,0.0432,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0011,NorthPeak Athletics Urban Training Pants,Clearance Event,2025-01-09,2025-01-16,7,434.0,154.3,0.645,441,38,0.2692,0.0729,2,308.57,0.0045,0.0745,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0059,NorthPeak Athletics TechFeel Hiking Shoes,Clearance Event,2025-01-09,2025-01-16,7,352.0,173.1,0.508,455,338,0.2232,0.0576,19,3289.37,0.0418,0.0507,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Swimwear,NPA-0023,NorthPeak Athletics SunCore Swimwear,Clearance Event,2025-01-09,2025-01-16,7,622.0,278.4,0.6,176,10,0.4107,0.0444,0,0.0,0.0,0.1299,True,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0043,NorthPeak Athletics SunCore Training Pants,Clearance Event,2025-01-09,2025-01-16,7,539.0,227.8,0.577,503,1088,0.2887,0.0743,80,18227.29,0.159,0.0621,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0036,NorthPeak Athletics Trail Ready Sports Backpack,Clearance Event,2025-01-09,2025-01-16,7,405.0,194.4,0.572,141,31,0.1366,0.0171,0,0.0,0.0,0.1342,True,True
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0015,NorthPeak Athletics CushionFlex Hiking Shoes,Clearance Event,2025-01-09,2025-01-16,7,235.0,124.9,0.469,544,224,0.3261,0.0696,15,1873.29,0.0276,0.0784,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0021,NorthPeak Athletics AirLite Down Jacket,Clearance Event,2025-01-09,2025-01-16,7,535.0,204.6,0.618,91,1204,0.322,0.069,83,16977.89,0.9121,0.0774,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Training Shoes,NPA-0032,NorthPeak Athletics Lumen Training Shoes,Clearance Event,2025-01-09,2025-01-16,7,370.0,200.6,0.458,483,499,0.2544,0.0743,37,7423.53,0.0766,0.0463,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0002,NorthPeak Athletics Breeze Sports Backpack,Clearance Event,2025-01-09,2025-01-16,7,996.0,360.6,0.638,327,25,0.3401,0.0876,2,721.22,0.0061,0.0665,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Swimwear,NPA-0079,NorthPeak Athletics TechFeel Swimwear,Clearance Event,2025-01-09,2025-01-16,7,887.0,320.9,0.638,258,10,0.2781,0.0849,0,0.0,0.0,0.0768,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0066,NorthPeak Athletics Featherweight Yoga Set,Clearance Event,2025-01-09,2025-01-16,7,204.0,86.4,0.577,691,51,0.3082,0.0827,4,345.52,0.0058,0.0659,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,NPA-0082,NorthPeak Athletics Breeze Shell Jacket,Clearance Event,2025-01-09,2025-01-16,7,822.0,416.2,0.494,439,318,0.2483,0.052,16,6659.31,0.0364,0.091,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,NPA-0007,NorthPeak Athletics Classic Shell Jacket,Clearance Event,2025-01-09,2025-01-16,7,306.0,130.6,0.573,288,52,0.2762,0.0714,3,391.74,0.0104,0.0452,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0022,NorthPeak Athletics Breeze Sports Backpack,Clearance Event,2025-01-09,2025-01-16,7,967.0,413.7,0.572,321,307,0.169,0.0421,12,4964.99,0.0374,0.0677,False,True
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Swimwear,NPA-0063,NorthPeak Athletics SunCore Swimwear,Clearance Event,2025-01-09,2025-01-16,7,1009.0,518.0,0.487,477,1244,0.2796,0.0752,93,48176.27,0.195,0.0769,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0080,NorthPeak Athletics Durable Quick-Dry Tee,Clearance Event,2025-01-09,2025-01-16,7,724.0,274.4,0.621,327,10,0.2126,0.0595,0,0.0,0.0,0.1048,False,True
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0056,NorthPeak Athletics Trail Ready Hiking Shoes,Clearance Event,2025-01-09,2025-01-16,7,1000.0,355.2,0.645,370,17,0.1828,0.062,1,355.19,0.0027,0.1303,False,True
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0025,NorthPeak Athletics CloudSoft Quick-Dry Tee,Clearance Event,2025-01-09,2025-01-16,7,533.0,323.7,0.458,80,676,0.302,0.0298,20,6473.74,0.25,0.1244,True,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0076,NorthPeak Athletics Trail Ready Hiking Shoes,Clearance Event,2025-01-09,2025-01-16,7,578.0,346.8,0.4,454,648,0.306,0.0794,51,17685.51,0.1123,0.0951,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Swimwear,NPA-0087,NorthPeak Athletics Classic Swimwear,Clearance Event,2025-01-09,2025-01-16,7,574.0,230.1,0.599,436,45,0.2577,0.0616,2,460.18,0.0046,0.0761,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0018,NorthPeak Athletics Vintage Down Jacket,Clearance Event,2025-01-09,2025-01-16,7,723.0,483.3,0.403,413,108,0.2119,0.022,2,966.52,0.0048,0.1303,True,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0061,NorthPeak Athletics AirLite Quick-Dry Tee,Clearance Event,2025-01-09,2025-01-16,7,931.0,421.3,0.596,445,798,0.3561,0.0391,31,13061.27,0.0697,0.119,True,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0064,NorthPeak Athletics Minimal Sports Backpack,Clearance Event,2025-01-09,2025-01-16,7,667.0,379.2,0.492,39,10,0.2526,0.0265,0,0.0,0.0,0.1248,True,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0086,NorthPeak Athletics Featherweight Hiking Shoes,Clearance Event,2025-01-09,2025-01-16,7,446.0,215.6,0.517,181,10,0.3234,0.1229,1,215.63,0.0055,0.0743,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0009,NorthPeak Athletics Everyday Yoga Set,Clearance Event,2025-01-09,2025-01-16,7,810.0,423.0,0.478,227,10,0.1522,0.049,0,0.0,0.0,0.1378,False,True
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Down Jacket,NPA-0035,NorthPeak Athletics CushionFlex Down Jacket,Clearance Event,2025-01-09,2025-01-16,7,541.0,358.5,0.408,390,922,0.2598,0.0266,24,8604.19,0.0615,0.1074,True,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0028,NorthPeak Athletics New Season Training Pants,Clearance Event,2025-01-09,2025-01-16,7,723.0,374.1,0.483,483,1051,0.3241,0.0755,79,29555.46,0.1636,0.0925,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0030,NorthPeak Athletics Comfort Fit Sports Backpack,Clearance Event,2025-01-09,2025-01-16,7,901.0,334.5,0.629,238,740,0.2779,0.0618,45,15050.9,0.1891,0.0729,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Training Pants,NPA-0031,NorthPeak Athletics Urban Training Pants,Clearance Event,2025-01-09,2025-01-16,7,383.0,206.3,0.461,516,1765,0.3145,0.0947,167,34455.48,0.3236,0.0551,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,NPA-0058,NorthPeak Athletics Vintage Shell Jacket,Clearance Event,2025-01-09,2025-01-16,7,931.0,520.8,0.441,493,10,0.2343,0.0634,0,0.0,0.0,0.0838,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0038,NorthPeak Athletics Vintage Yoga Set,Clearance Event,2025-01-09,2025-01-16,7,1236.0,637.1,0.485,447,96,0.3461,0.0754,7,4459.91,0.0157,0.0503,False,False
CAMP00002,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,NPA-0085,NorthPeak Athletics CloudSoft Quick-Dry Tee,Clearance Event,2025-01-09,2025-01-16,7,667.0,374.9,0.438,173,91,0.2365,0.0812,7,2624.36,0.0405,0.0463,False,False
